model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_1_20230217_162339,0.2675244123194517,0.8577052456610245,0.3713012269085333,0.2346846158275039,0.296088419626786,0.0876683522370877,24247,0.051076,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20230217_162339,0.267547445138617,0.8576773483494872,0.3714459225214579,0.2265851745062431,0.2961173175596638,0.0876854657587307,23831,0.010979,StackedEnsemble
XGBoost_grid_1_AutoML_1_20230217_162339_model_1,0.2684295948360535,0.8562139081338584,0.3686594869017502,0.2303982499322408,0.2964983050470494,0.0879112448957731,5006,0.001672,XGBoost
GBM_2_AutoML_1_20230217_162339,0.268493597434098,0.856636715980401,0.3703496428011441,0.2333535599703285,0.296481330161663,0.087901179134429,9870,0.00515,GBM
GBM_5_AutoML_1_20230217_162339,0.268815180690647,0.8562421093794365,0.3689916912840693,0.2312883944266238,0.2966452994952365,0.0879984337126185,9132,0.004977,GBM
GBM_3_AutoML_1_20230217_162339,0.2691702133122884,0.8558607849698666,0.3673010711458426,0.2370585794518543,0.2967491063719381,0.0880600321325438,11074,0.006263,GBM
GBM_4_AutoML_1_20230217_162339,0.2701133814909408,0.8552938214816173,0.3664963235605918,0.2264658078344246,0.2969941122985342,0.0882055027399943,11666,0.004178,GBM
GBM_1_AutoML_1_20230217_162339,0.2701999690529526,0.8546751815396383,0.3652296748303716,0.2320985993396331,0.2971459264672096,0.0882957016160563,17006,0.004661,GBM
DeepLearning_1_AutoML_1_20230217_162339,0.2751830427224209,0.8480015911861573,0.33852757528974,0.2367968215986521,0.2996859594861274,0.0898116743131208,15749,0.003401,DeepLearning
XGBoost_1_AutoML_1_20230217_162339,0.4139379150408167,0.8337596774022407,0.3239748541290811,0.2426135528900563,0.3794994378827921,0.1440198233533552,22455,0.005994,XGBoost
XGBoost_2_AutoML_1_20230217_162339,0.4187301665857506,0.8360872798589862,0.3290451453828726,0.2296291073295782,0.384157169925911,0.1475767312054852,25407,0.006171,XGBoost
XGBoost_3_AutoML_1_20230217_162339,0.4508836282319476,0.8523988831489689,0.3601652488443577,0.2390925794347332,0.4073239408055494,0.1659127927533627,8228,0.002152,XGBoost
